date,pred,lower,upper,adm_1
2024-10-06,123.83719248542384,0.0,270.9603999274886,PB
2024-10-13,108.2680233145594,0.0,255.39123075662414,PB
2024-10-20,104.2908064407354,0.0,251.41401388280013,PB
2024-10-27,87.58082016920297,0.0,234.7040276112677,PB
2024-11-03,86.89163523237649,0.0,234.01484267444124,PB
2024-11-10,86.31730208770425,0.0,233.44050952976897,PB
2024-11-17,88.09462834170706,0.0,235.21783578377182,PB
2024-11-24,87.09567794791913,0.0,234.21888538998388,PB
2024-12-01,102.35979874621601,0.0,249.48300618828074,PB
2024-12-08,140.39867054512413,0.0,287.5218779871889,PB
2024-12-15,121.16916566634214,0.0,268.2923731084069,PB
2024-12-22,117.71948062141658,0.0,264.8426880634813,PB
2024-12-29,95.00050094357113,0.0,242.12370838563587,PB
2025-01-05,144.69747783752152,0.0,291.82068527958626,PB
2025-01-12,158.46103261245065,11.337825170385912,305.58424005451536,PB
2025-01-19,199.60499252440906,52.48178508234432,346.72819996647377,PB
2025-01-26,228.40661879338464,81.2834113513199,375.5298262354494,PB
2025-02-02,268.3638417669827,121.24063432491798,415.4870492090474,PB
2025-02-09,290.24954353291616,143.12633609085142,437.37275097498093,PB
2025-02-16,372.8879839609956,225.76477651893086,520.0111914030604,PB
2025-02-23,350.36256079439687,203.23935335233213,497.4857682364616,PB
2025-03-02,457.13882063605587,310.01561319399116,604.2620280781206,PB
2025-03-09,482.6052017198909,335.4819942778262,629.7284091619556,PB
2025-03-16,491.71636621754,344.5931587754752,638.8395736596048,PB
2025-03-23,481.4316587645762,334.3084513225115,628.5548662066409,PB
2025-03-30,518.4226858666135,371.29947842454874,665.5458933086783,PB
2025-04-06,530.1669551250915,383.0437476830267,677.2901625671562,PB
2025-04-13,585.814802631324,438.69159518925926,732.9380100733888,PB
2025-04-20,564.74615545583,417.62294801376527,711.8693628978948,PB
2025-04-27,568.7787400432313,421.65553260116656,715.9019474852961,PB
2025-05-04,608.1211237062568,460.997916264192,755.2443311483215,PB
2025-05-11,690.0128901700384,542.8896827279736,837.1360976121032,PB
2025-05-18,687.9859723791104,540.8627649370457,835.1091798211752,PB
2025-05-25,591.3587217674126,444.2355143253478,738.4819292094774,PB
2025-06-01,585.723336416061,438.6001289739962,732.8465438581258,PB
2025-06-08,546.3758998505372,399.2526924084724,693.4991072926019,PB
2025-06-15,470.51919224580905,323.39598480374434,617.6423996878738,PB
2025-06-22,394.648113774225,247.52490633216027,541.7713212162897,PB
2025-06-29,381.46075784012294,234.3375503980582,528.5839652821877,PB
2025-07-06,381.5456039838466,234.42239654178186,528.6688114259114,PB
2025-07-13,354.20313617143637,207.07992872937163,501.3263436135011,PB
2025-07-20,333.03673037453063,185.9135229324659,480.1599378165954,PB
2025-07-27,296.3456375113096,149.22243006924484,443.4688449533743,PB
2025-08-03,252.3699095507527,105.24670210868797,399.4931169928175,PB
2025-08-10,238.3600054052929,91.23679796322816,385.48321284735766,PB
2025-08-17,238.63357112018684,91.5103636781221,385.7567785622516,PB
2025-08-24,191.16918362477057,44.04597618270583,338.2923910668353,PB
2025-08-31,180.14003276867027,33.01682532660553,327.26324021073503,PB
2025-09-07,158.87399230799423,11.75078486592949,305.99719975005894,PB
2025-09-14,150.87796704221265,3.7547596001479064,298.0011744842774,PB
2025-09-21,132.78049174995004,0.0,279.90369919201476,PB
2025-09-28,118.69819987782198,0.0,265.8214073198867,PB
